Program Name,Program Phone,Program Email,Program Address 1,Program Address 2,Town,Program Zip,EEC Regional Office Address:,Program Contact Name,License First Issue Date,Most Recently Renewed,License Number,Capacity,CCRR Name,CCRR Phone,Program Type
Bridgeview Montessori School,(508) 888-3567,jdavis@bridgeviewmontessori.org,885 Sandwich Rd,,Sagamore,02561-0270,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Julie Davis,8/28/08,3/30/23,9117636,39,Child Care Network,(508) 778-9470,Large Group
Bright Ideas Childcare Cedarville,(774) 413-7466,brightideaschildcare@comcast.net,12 HEDGES POND RD,,Plymouth,02360-2216,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Brenda McClay,6/4/09,9/11/24,9154062,32,Child Care Network,(508) 778-9470,Large Group
Bright Promises Preschool,(508) 428-5010,brightpromises@gmail.com,57 Pond St,,Osterville,02655-1596,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Maureen Junkin,8/27/95,3/27/24,9141887,33,Child Care Network,(508) 778-9470,Large Group
Brilliant Children's College and Day Care,(774) 202-1187,raqueldeguzman37@gmail.com,535 Ashley Blvd,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Raquel Guzman,11/13/22,5/13/23,9118213,34,Child Care Works,(508) 999-9930,Large Group
"Bronk, Tammy",(508) 789-6025,tammy.bronk@comcast.net,5 Glenda Avenue,,Wareham,02571-1903,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/27/01,8/16/24,9150315,10,Child Care Network,(508) 778-9470,Family Child Care
Building Blocks Child Care Center,(508) 778-8200,ekorpela26@yahoo.com,546 Phinney's Lane,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Eila Desrocher,5/24/06,7/17/24,9150932,65,Child Care Network,(508) 778-9470,Large Group
"Burr, April",(781) 588-6795,aprilburr39@gmail.com,1 Pheasant Ave,,Plymouth,2360,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/6/22,4/6/22,9088967,10,Child Care Network,(508) 778-9470,Family Child Care
"Burt, Jennifer",(774) 305-9612,jen2138@outlook.com,16 Oak Street,,Fairhaven,2719,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/12/21,10/12/24,9157905,8,Child Care Works,(508) 999-9930,Family Child Care
"Cabral, Luciane AC",(916) 217-8667,llummacostta08@gmail.com,9 Windshore Dr,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/1/18,10/1/24,9155251,10,Child Care Network,(508) 778-9470,Family Child Care
Cadence Academy Preschool - Bourne,(508) 563-3400,director.bourne@cadence-academy.com,536 MacArthur Blvd,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Karrie Reardon,4/14/19,10/14/23,9132739,118,Child Care Network,(508) 778-9470,Large Group
"Cahoon, Nichole",(508) 540-2514,ncahoon@comcast.net,500 East Falmouth Highway,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/14/14,1/14/23,9112958,10,Child Care Network,(508) 778-9470,Family Child Care
"Canelon, Maria",(508) 994-0102,mayolca@aol.com,394 Summer Street,,New Bedford,02740-5526,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/7/11,7/6/23,9126045,8,Child Care Works,(508) 999-9930,Family Child Care
Cape Cod Conservatory of Music & Arts Preschool at West Barnstable,(508) 362-2772,akullas@capeconservatory.org,2235 Iyannough Rd,,West Barnstable,02668-1507,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Anne Kullas,,12/5/24,9160545,39,Child Care Network,(508) 778-9470,Large Group
"Castillo, Yudelka",(508) 840-8426,yudelkacastillo12@gmail.com,287 Bolton st,287 Bolton St,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/9/11,9/21/23,9126491,10,Child Care Works,(508) 999-9930,Family Child Care
"Charbonneau, Wren",(508) 496-2925,holdinghandsfcc@gmail.com,14 Leland Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/20/16,11/20/22,9108117,10,Child Care Works,(508) 999-9930,Family Child Care
"Chella, Thayara Sabrina",(774) 368-8822,sahchellaeua@gmail.com,38 Lincoln Ave,,Yarmouth,2673,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/18/21,4/18/24,9143027,10,Child Care Network,(508) 778-9470,Family Child Care
Children's Circle Nursery School,(508) 993-6531,samanthaccns@yahoo.com,17 Middle Street,,South Dartmouth,02748-3413,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Samantha Barrett,2/26/80,5/21/24,9146099,20,Child Care Works,(508) 999-9930,Large Group
Children's Crossing,(508) 362-6500,dgrahamreardon@ymcacapecod.org,2245 Iyannough Rd,,West Barnstable,02668-1507,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jamie Macleod,9/21/89,1/10/25,9158616,68,Child Care Network,(508) 778-9470,Large Group
"Children's Paradise, Inc",(508) 998-4763,rosajaigrejas4@gmail.com,3132 Acushnet Avenue,,New Bedford,02745-3628,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",stephany carreiro,7/4/02,7/8/24,9147384,128,Child Care Works,(508) 999-9930,Large Group
"Children's Paradise, Inc",(508) 995-7778,rutha1976@comcast.net,4 Waldo Street,,New Bedford,02745-5603,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Ruth Januario,4/30/98,3/16/25,9166928,30,Child Care Works,(508) 999-9930,Large Group
"Children’s Paradise, Inc.",(774) 206-6853,rosajaicabral@gmail.com,385 Rockdale Avenue,,New Bedford,2740,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Diana Ferreira,11/13/23,5/13/24,9144450,31,Child Care Works,(508) 999-9930,Large Group
Chilmark Preschool,(508) 645-2562,director@chilmarkpreschool.com,8 State Road,,Aquinnah,02535-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Anja May,9/5/05,4/5/24,9140901,20,Child Care Network,(508) 778-9470,Large Group
"Clemea De Amorim, Nilziane",(857) 251-7859,nilzianeamorim56@gmail.com,100 Oak Neck Rd,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,1/6/25,1/6/25,9157241,6,Child Care Network,(508) 778-9470,Family Child Care
Coastal Kids,(774) 206-6097,coastalkidsinc@gmail.com,13 Crompton Street,,Acushnet,2743,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristin Avila,11/29/18,5/29/23,9123556,29,Child Care Works,(508) 999-9930,Large Group
Coastal Kids 3,(774) 206-6737,coastalkidsinc@gmail.com,371 Slocum Rd,,North Dartmouth,2747,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Kristin Avila,9/30/21,9/30/23,9128954,51,Child Care Works,(508) 999-9930,Large Group
"Cogill, Deir",(774) 521-4963,deircogill@hotmail.com,48 West Tisbury Rd,,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/17/24,6/17/24,9143743,6,Child Care Network,(508) 778-9470,Family Child Care
"Coito, Linda",(508) 693-0530,ljchoney@gmail.com,27 Putnam Way,,Vineyard Haven,02568-5857,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/28/08,7/28/23,9126207,6,Child Care Network,(508) 778-9470,Family Child Care
"Conrad, Lisa",(508) 477-8449,conradkevin855@comcast.net,15 Grand Oak Road,,Forestdale,02644-1203,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/1/00,12/9/22,9109981,6,Child Care Network,(508) 778-9470,Family Child Care
"Costa, Carmen",(774) 992-8995,steppingstoneschild@yahoo.com,53 Oak Street,,New Bedford,02740-3345,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/31/00,7/1/24,9149936,10,Child Care Works,(508) 999-9930,Family Child Care
Cotuit Nursery School,(508) 428-1470,cotuitnurseryschool@yahoo.com,40 School St,,Cotuit,02635-3245,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",CIndy Faszewski,11/6/88,5/16/23,9120080,20,Child Care Network,(508) 778-9470,Large Group
"Coucci, Karen J.",(508) 989-1083,littlesailorsfamilydaycare@gmail.com,8 Melissa Ann Ln,,Mattapoisett,02739-1077,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/15/04,6/16/22,9101726,10,Child Care Works,(508) 999-9930,Family Child Care
"Coughlan, Julie M",(508) 648-0305,busylilbees@gmail.com,14 Tyler Drive,,Sandwich,02563-1848,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/31/08,10/3/23,9132229,10,Child Care Network,(508) 778-9470,Family Child Care
Countryside Child Care - Rochester,(508) 763-8007,bonnie@countrysidechildcare.net,565 Rounseville Road Unit 12,,Rochester,02770-2020,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,7/4/05,5/1/23,9122365,70,Child Care Works,(508) 999-9930,Large Group
Countryside Child Care Center Inc.,(508) 789-3645,bonnie@countrysidechildcare.net,15 Cranberry Highway,,Rochester,2770,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,2/9/20,2/9/24,9136717,74,Child Care Works,(508) 999-9930,Large Group
"Countryside Child Care Center, Inc",(508) 763-8007,bonnie@countrysidechildcare.net,17 Barstow Street,,Mattapoisett,2739,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,8/22/23,8/22/23,9129931,26,Child Care Works,(508) 999-9930,Large Group
"Countryside Child Care Center, Inc. School Age Program Marion",(508) 789-3645,bonnie@countrysidechildcare.net,16 Spring Street,,Marion,2738,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,9/4/17,4/12/24,9143506,26,Child Care Works,(508) 999-9930,Large Group
"Countryside Child Care Center, Inc.-Marion",(508) 748-0048,bonnie@countrysidechildcare.net,381 Front Street,,Marion,2738,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,6/30/14,6/19/23,9120158,71,Child Care Works,(508) 999-9930,Large Group
"Countryside Child Care Center, Inc.School Age Program",(508) 789-3645,bonnie@countrysidechildcare.net,16 Pine Street,,Rochester,2770,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Bonnie Morrison,8/30/15,1/17/25,9161051,38,Child Care Works,(508) 999-9930,Large Group
"Court, Erin",(508) 858-8966,daybyday1612@aol.com,11 Thimbleberry Avenue,,East Wareham,02538-1205,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,7/29/07,7/29/22,9101218,8,Child Care Network,(508) 778-9470,Family Child Care
Crayon Campus - Cove,(508) 997-4944,ncruz@crayoncampus.net,1 Cove Road,,South Dartmouth,02748-2709,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nancy Cruz,10/16/01,9/12/24,9153258,45,Child Care Works,(508) 999-9930,Large Group
Crayon Campus - Howland,(508) 997-4944,ncruz@crayoncampus.net,651 Orchard Street,,New Bedford,02744-1008,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Robin Friedlaender,3/30/04,11/29/23,9134066,241,Child Care Works,(508) 999-9930,Large Group
Crayon Campus - Nash,(508) 990-0101,ncruz@crayoncampus.net,478 Nash Road,,New Bedford,2746,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Nancy cruz,9/20/18,9/20/24,9153104,40,Child Care Works,(508) 999-9930,Large Group
Crayon Campus Learning Center,(508) 997-4944,jroderiques@crayoncampus.net,5 Russells Mills Road,,South Dartmouth,02748-1809,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Jessica Roderiques,8/30/01,11/19/23,9134056,95,Child Care Works,(508) 999-9930,Large Group
Creative Development Child Center (Sandy's School),(508) 295-1605,hocgym@aol.com,1 Plymouth Ave,,East Wareham,02538-1126,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sandra Boucher,2/27/89,1/16/25,9162552,23,Child Care Network,(508) 778-9470,Large Group
Creative Playschool,(508) 998-5019,staplegun03@gmail.com,3374 Acushnet Avenue,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Sara Teves,7/2/23,1/2/24,9132354,24,Child Care Works,(508) 999-9930,Large Group
"Creighton, Donna",(508) 693-0728,donna.creighton@verizon.net,27 Michaels Way,,Vineyard Haven,02568-,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/6/00,4/10/24,9139656,8,Child Care Network,(508) 778-9470,Family Child Care
"Curtin, Linda",(508) 737-2697,stephmike318@comcast.net,318 Quaker Meetinghouse Road,,East Sandwich,02537-1327,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,5/14/99,7/24/24,9147514,10,Child Care Network,(508) 778-9470,Family Child Care
"da Cunha Melo, Andreia Maria",(774) 368-8318,andreiacunhamelo@gmail.com,127 Bristol Ave,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/21/23,9/21/23,9122766,6,Child Care Network,(508) 778-9470,Family Child Care
"Da Cunha Santos Rosa, Sandra",(774) 310-0801,sandra.cler@hotmail.com,17B Red Oak Circle,,Edgartown,2539,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/14/19,2/14/22,9096270,8,Child Care Network,(508) 778-9470,Family Child Care
"Da Cunha, Lucelia",(508) 364-6780,luce725@hotmail.com,184 Compass Circle,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,9/6/10,9/6/22,9105603,10,Child Care Network,(508) 778-9470,Family Child Care
"Da Silva Aguiar, Josiane",(774) 822-8066,josianeaguiar6621@gmail.com,110 Beth Ln,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/6/22,6/6/22,9100163,10,Child Care Network,(508) 778-9470,Family Child Care
"Darosa, Stephanie",(315) 440-0201,stephdarosa@gmail.com,9 Swans Way,,Chilmark,2535,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/21/22,11/21/22,9084454,6,Child Care Network,(508) 778-9470,Family Child Care
Dartmouth YMCA,(508) 993-3361,vkelly@ymcasc.org,276 Gulf Road,,Dartmouth,02748-1515,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Vanessa Kelly,10/30/01,12/17/23,9136548,39,Child Care Works,(508) 999-9930,Large Group
Dayanne Guimaraes Ramos Pinheiro,508-524-7764,dayannegrpinheiro@gmail.com,1 B Pilot Way,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/1/23,6/1/23,9120601,6,Child Care Network,(508) 778-9470,Family Child Care
Days of Discovery,(508) 998-9567,djcain13@yahoo.com,581 Church Street,,New Bedford,2745,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Danielle Cain,12/15/16,8/6/23,9122385,42,Child Care Works,(508) 999-9930,Large Group
Days of Discovery Child Care Center,(508) 998-9567,darcy-days@outlook.com,575 Church Street,,New Bedford,02745-1315,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Darcy Leiriao,9/23/04,5/30/24,9146516,89,Child Care Works,(508) 999-9930,Large Group
"de Almeida, Amanda",(508) 360-5814,amanda.noele@yahoo.com.br,18 Trowbridge Road,,Bourne,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/11/25,2/11/25,9157554,6,Child Care Network,(508) 778-9470,Family Child Care
"de Almeida, Raiane",(508) 815-6373,raiane.mallu2022@gmail.com,1851 Falmouth Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/15/24,2/15/24,9141032,6,Child Care Network,(508) 778-9470,Family Child Care
"de Carvalho, Amanda",(508) 292-1372,juamanda02@icloud.com,222 Davisville Road,,East Falmouth,2536,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,2/28/24,1/6/25,9160543,6,Child Care Network,(508) 778-9470,Family Child Care
"De Miranda, Junia Silva",(774) 552-2170,juniadaycare@gmail.com,124 Nobadeer Road,,Centerville,02632-1926,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,4/13/06,4/13/24,9142297,10,Child Care Network,(508) 778-9470,Family Child Care
"De Oliveira Mello Maia, Dayanne",(508) 232-9064,dayannemello@hotmail.com,111 Seaboard Lane,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/8/24,10/8/24,9154079,6,Child Care Network,(508) 778-9470,Family Child Care
"De Oliveira Mello, Bianca",(508) 815-9981,bianca.oml@hotmail.com,15 Rosemary lane,,West Yarmouth,2673,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/13/17,12/13/23,9134602,6,Child Care Network,(508) 778-9470,Family Child Care
"De Oliveira Peixoto Neves, Renata",(774) 327-4799,renata.opeixoto@gmail.com,543 Wakeby Road,,Marstons Mills,2648,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,12/13/20,12/13/23,9136186,10,Child Care Network,(508) 778-9470,Family Child Care
"De Oliveira, Deise",(508) 815-9489,oliveiradeise456@gmail.com,307 Strawberry Hill Road,,Centerville,2632,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,10/26/17,10/26/23,9129519,10,Child Care Network,(508) 778-9470,Family Child Care
"De Queiroz Silva, Camila Gabrielle",(508) 280-9900,rainbowchildcaree@gmail.com,100 Pine Grove  Avenue,,Hyannis,2601,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/4/21,11/4/24,9157303,10,Child Care Network,(508) 778-9470,Family Child Care
"De Souza, Chenoa",(774) 994-7988,chenoa.peters@gmail.com,26 Spinnaker Street,,Sandwich,2563,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/12/24,6/12/24,9139007,6,Child Care Network,(508) 778-9470,Family Child Care
"Dematos, Katrina",(774) 392-1310,kat11perry@yahoo.com,92 Fox Run Ln,,East Falmouth,02536-4028,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,6/25/00,8/9/22,9103948,10,Child Care Network,(508) 778-9470,Family Child Care
"DeMello-Hart, Helen",(508) 246-4518,hart343@comcast.net,343 Sam Turner Road,,East Falmouth,02536-3916,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,11/7/85,2/22/23,9112152,8,Child Care Network,(508) 778-9470,Family Child Care
Dennison Memorial Sch Age DayCare,(508) 996-2691,joe.neves@comcast.net,755 South 1st Street,,New Bedford,02744-1706,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Joe Neves,4/28/96,6/19/24,9149819,26,Child Care Works,(508) 999-9930,Large Group
DeValles Day Care Program,(508) 994-5364,devallesdc@aol.com,201 Crapo Street,,New Bedford,02744-1024,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Melissa Francis,8/9/98,9/17/23,9128702,117,Child Care Works,(508) 999-9930,Large Group
Discovery Preschool,(508) 759-2988,denisebelle@msn.com,165 Main Street,,Buzzards Bay,2532,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",Denise Wordell-Brown,11/14/88,7/31/24,9146799,30,Child Care Network,(508) 778-9470,Large Group
"DItalia, Roxana",(774) 417-4311,roxanavm2@hotmail.com,325 Snipatuit Road,,Rochester,2770,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/2/20,8/2/23,9126871,10,Child Care Works,(508) 999-9930,Family Child Care
"Do Nascimento Loreto, Beatriz",(774) 368-9465,bialoretto2026@gmail.com,59 Audreys Lane,,Marstons Mills,2648,"100 Myles Standish Blvd.  Suite 100, Taunton, MA 02780",,8/5/24,8/5/24,9151820,6,Child Care Network,(508) 778-9470,Family Child Care
